,content,sentiment
0,"Sometimes I’m not angry, I’m hurt and there’s a big difference.",angry
1,Not available for busy people☺,angry
2,I do not exist to impress the world. I exist to live my life in a way that will make me happy.,angry
3,"Everything is getting expensive except some people, they are getting cheaper.",angry
4,My phone screen is brighter than my future 🙁,angry
5,Anger is a feeling that makes your mouth work than faster your mind..,angry
6,"This man, is man, a man, good man, way man, to man, keep man, an man, idiot man, busy man, for man, 30 man, seconds man! NOW READ WITHOUT MAN",angry
7,Sometimes the best way to get someone\’s attention is to stop giving them yours.,angry
8,"People like to bring up your past, when your present and future look better than theirs.",angry
9,Wakeup>job>noluv>daaru>sleep>repeat..,angry
10,To all u Haters!!! Thanks for making me famous. I don’t give a Sh***t if u talk behind my back.,angry
11,Its hurts the worst when the person that made you feel so special yesterday makes you feel so unwanted today.,angry
12,Life is too short don’t waste it by reading my whatsapp status,angry
13,"If I treated you the way you treat me, you would hate my guts.",angry
14,Girls r like potato chips…you can’t have 1,angry
15,Had you asked for my life i would have sacrificed it with a smile… but you’ve stripped me of my pride,angry
16,People always miss you more when they find out how much happier you are without them.,angry
17,"People change for one of two reasons: They have learned a lot, or they have been hurt too many times.",angry
18,If you fail and feels the shame then you are only few steps away from success ☺,angry
19,You get betrayed by people you never thought of…,angry
20,Does your ass ever get jealous of all the shit that comes out of ur mouth?,angry
21,"When you give lots of importance to someone, you loss your own importance in their life….",angry
22,There are no solutions when you only focus on the negative,angry
23,Out of every negative is a positive.. its up to you to find out what it is and utilize it..,angry
24,If you always focus on the negative you will never see the positive!!!,angry
25,Negativity is a cancer of the soul that spreads like the flu..,angry
26,"If you realized how powerful your thoughts are, you would never think a negative thought.",angry
27,"When life give u lemons, squeeze it in people’s eyes ….",angry
28,"I’m take a nice long shit, so don’t stress me !",angry
29,"Don’t disturb me, I am disturbed enough already.",angry
30,Please don’t interrupt me while I’m ignoring you,angry
31,Stop letting the world change you. Be yourself and change the world.,angry
32,"Just when I think things are looking up, here comes the Fuck up Fairy again. Why can’t things go right for a change?",angry
33,"Looking at the past, yeah…Alot of it hurt but you know it only made me stronger.",angry
34,You talk behind my back only because you are afraid to say things to my face.,angry
35,why does no one ever want to talk in an elevator?,angry
36,What you heard is not what I said. Listen better next time.,angry
37,"Think again before you assume, And next time don’t be so quick to judge. You’ll never know what it’s like to be in my shoes.",angry
38,is wishing that SOME people would understand that: IT’S NOT ALL ABOUT YOU!!,angry
39,"Go ahead and ignore me,..I can play that game too, and I’m probably better at it than you are…",angry
40,"No time for disrespectful, immature, selfish individuals!",angry
41,Ever notice its those people saying they hate drama that start it? It doesn’t make sense to me.,angry
42,is wondering if certain people have to work to be annoying or if it just comes naturally,angry
43,The people that work hard don’t get the credit.The people that just do nothing get everything.,angry
44,There are a few people out there who are just like trees; they take forever to grow up.,angry
45,ugh. your so fake i bet if you look at the bottom of your foot it say made in china,angry
46,"Life is to short to let other people get to you, If they can’t handle who I am then I don’t need them in my life!",angry
47,"I don't care about what others think about me, I just care about what I think about myself.",angry
48,People are selfish now a days.,angry
49,"Don’t tell me to change, I can’t perfect myself anymore.",angry
50,You killed what was left of the good in me.,angry
51,I never dreamed about success. I worked for it.,angry
52,"If you don't like me remember it's mind over matter, I don't mind and you don't matter.",angry
53,Be yourself because an original is worth more than a copy.,angry
54,Yes i am selfish i don’t want to share you with people.,angry
55,I'm only selfish when it comes to you.,angry
56,"I done what i like, i don't care what you think?",angry
57,"I am who I am, your approval isn't needed.",angry
58,"I'd rather be hated for being real, than loved for being fake.",angry
59,"Be good to yourself, you’re all you’ve got.",angry
60,"I am simple, complex, generous, selfish, unattractive, beautiful, lazy, and driven.",angry
61,"Beauty captures your attention, but personality captures your heart.",angry
62,"You left without a reason, so please don't come back with an excuse.",angry
63,"I’m born to express, not to impress.",angry
64,If your ego speaks with me then my attitude replies to you.,angry
65,"Before you judge me, Make sure that you’re perfect.",angry
66,"I don’t treat people badly, I treat them accordingly.",angry
67,"My life ,my rule,that’s my attitude… ",angry
68,"If you dont want me , Dont fuck with my feelings.",angry
69,Never Love Someone At The Cost Of Your Dignity And Self Respect...!!!,angry
70,Beauty is only skin deep.Attitude is down to the bone.,angry
71,"You treated me like an option, so i left you like a choice",angry
72,"There are two ways to be happy: Change your situation, or change your mindset towards it.",angry
73,"Your attitude may hurt me, But mine can Kill You!!",angry
74,I'm a very private person. You don’t ask i don’t tell.,angry
75,I am not your toy.,angry
76,Sometimes I want to treat people how they treat me But I don’t because It’s out of my character.,angry
77,"If you ever think I am ignoring you, I swear I am. My phone is in my hand 24×7 ",angry
78,"Take care of Your Status, don’t be care taker of My Status",angry
79,If there is no one to hold your hand put your hands in your pocket and continue your walk.,angry
80,"Don’t be afraid of being outnumbered , eagles fly alone. Pigeons flock together.",angry
81,I am who i am and i won't change for anyone.,angry
82,"I don’t care for people, who don’t care for me.",angry
83,Nobody can teach me who I am.,angry
84,"Yes, I’m smiling. But you’re not the reason anymore.",angry
85,"Choose me or lose me. I am not a backup plan, and definitely not a second choice.",angry
86,I don’t go crazy. I am crazy. I just go normal from time to time….,angry
87,"Never, never, never, never give up.",angry
88,There’s a difference between somebody who wants you and somebody who would do anything to keep you. Remember that.,angry
89,I dont have enough middle fingers to show you how i feel.,angry
90,"Yes, i have changed. Pain does that to People.",angry
91,"Dear Girls, Stop comparing all guys with your ex. Not all of us are players and jerks.",angry
92,The bravest thing I ever did was continuing my life when I wanted to die.,angry
93,"Show me, don't tell me.",angry
94,"I don’t fear commitment, I fear wasting my time.",angry
95,"I live, I love, I fight, I cry, but I never give up",angry
96,How he treats you is how he feels about you.,angry
97,"Someone Asked me what is UR attitude then i simply replied... "" BEING SINGLE IS MY ATTITUDE…""",angry
98,My attitude depends on the people in front of me.,angry
99,Im not selfish but whats Mine is MINE . End of story,angry
100,"if you want me let me know, if you dont, please gently let me go.",angry
101,They laughed at me because I'm different. I laughed at them because they're all the same.,angry
102,"I don’t insult people , I just describe them.",angry
103,"Two fundamentals of cool life – Walk like you are the king OR walk like you don’t care ,who is the king.",angry
104,"I trusted you but now your words mean nothing to me, because your actions spoke the truth.",angry
105,"If you like me Then raise your hand, If not then raise your standard.",angry
106,"Beauty Fades After Time, But Personality Is Forever!",angry
107,"Dear broken hearted girls , Hold your head up high and you middle finger higher , let him know what he is missing",angry
108,"Be a girl with a mind, a bitch with an attitude, and a lady with class.",angry
109,"I have no need for people who come to me when they need me,then throw me aside when they're fine.",angry
110,This is how it goes. I will respect those who respect me & forget those who forget me. Simple as that.,angry
111,When Sum One Hates You for no reason. Give them a reason.,angry
112,Never give up on something you love,angry
113,"Excellence is not a skill, It is an attitude. ",angry
114,"If you want me, come and get me. If you want me to come, forget it.",angry
115,"Good girls are bad girls, who never get caught.",angry
